NSDL Scheme Code,Scheme Name,TER Date (Change),Old Regular Plan - Base TER (%),New Regular Plan - Base TER (%),Regular Plan - TER Reduction (%),Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),Direct Plan - TER Reduction (%),Difference (Direct - Regular) TER Reduction (%)
FTMF/O/E /THE/25/08/0052,Franklin India Multi-Factor Fund,2026-02-01,2.25,2.24,0.01,0.59,0.58,0.01,0.0
FTMF/O/E/DYF/06/03/0025,Franklin India Dividend Yield Fund,2026-02-01,1.86,1.85,0.01,1.02,1.03,-0.01,-0.02
FTMF/O/E/ELS/99/04/0009,Franklin India ELSS Tax Saver Fund,2026-02-01,1.66,1.67,-0.01,0.9,0.93,-0.03,-0.019999999999999997
FTMF/O/E/LCF/93/12/0002,Franklin India Large Cap Fund,2026-02-01,1.65,1.64,0.01,0.91,0.93,-0.02,-0.03
FTMF/O/E/LMF/04/12/0023,Franklin India Large & Mid Cap Fund,2026-02-01,1.78,1.77,0.01,1.07,1.09,-0.02,-0.03
FTMF/O/E/MCF/25/05/0044,Franklin India Multi Cap Fund,2026-02-01,1.73,1.72,0.01,0.37,0.4,-0.03,-0.04
FTMF/O/E/MIF/93/12/0001,Franklin India Mid Cap Fund,2026-02-01,1.57,1.58,-0.01,0.79,0.82,-0.03,-0.019999999999999997
FTMF/O/E/SCF/05/10/0024,Franklin India Small Cap Fund,2026-02-01,1.58,1.57,0.01,0.76,0.79,-0.03,-0.04
FTMF/O/E/THE/00/02/0011,Franklin India Opportunities Fund,2026-02-01,1.64,1.63,0.01,0.42,0.45,-0.03,-0.04
FTMF/O/E/THE/09/06/0028,Franklin Build India Fund,2026-02-01,1.8,1.79,0.01,0.81,0.82,-0.01,-0.02
FTMF/O/E/THE/98/08/0008,Franklin India Technology Fund,2026-02-01,1.91,1.92,-0.01,0.88,0.91,-0.03,-0.019999999999999997
FTMF/O/E/VAF/96/06/0004,Templeton India Value Fund,2026-02-01,1.86,1.87,-0.01,0.73,0.75,-0.02,-0.01
FTMF/O/H /MAA/25/06/0051,Franklin India Multi Asset Allocation Fund,2026-02-01,1.81,1.8,0.01,0.16,0.17,-0.01,-0.02
FTMF/O/H/AHF/00/05/0012,Franklin India Aggressive Hybrid Fund,2026-02-01,1.87,1.86,0.01,0.75,0.74,0.01,0.0
FTMF/O/H/ARB/24/10/0049,Franklin India Arbitrage Fund,2026-02-01,0.96,0.95,0.01,0.25,0.24,0.01,0.0
FTMF/O/H/BAF/22/07/0043,Franklin India Balanced Advantage Fund,2026-02-01,1.82,1.81,0.01,0.41,0.4,0.01,0.0
FTMF/O/O/FOD/03/10/0017,Franklin India Dynamic Asset Allocation Active Fund of Funds,2026-02-01,1.98,2.0,-0.02,1.08,1.12,-0.04,-0.02
FTMF/O/O/FOD/14/05/0032,Franklin India Income Plus Arbitrage Active Fund of Funds,2026-02-01,0.52,0.51,0.01,0.17,0.21,-0.04,-0.05
FTMF/O/S/RET/97/03/0005,Franklin India Retirement Fund,2026-02-01,2.0,1.99,0.01,1.23,1.22,0.01,0.0
GROW/O/O/EET/25/07/0042,Groww Nifty Capital Markets ETF,2026-02-01,0.0,1.0,-1.0,0.4,0.34,0.06,1.06
GROW/O/O/EIN/24/04/0014,Groww Nifty 1D Rate Liquid ETF,2026-02-01,0.0,1.0,-1.0,0.29,0.4,-0.11,0.89
GROW/O/O/FOD/24/07/0016,Groww Nifty EV & New Age Automotive ETF FOF,2026-02-01,0.57,0.55,0.02,0.14,0.12,0.02,0.0
GROW/O/O/FOD/24/09/0021,Groww Gold ETF FOF,2026-02-01,0.55,0.42,0.13,0.23,0.1,0.13,0.0
GROW/O/O/FOD/24/10/0026,Groww Nifty 200 ETF FOF,2026-02-01,0.7,0.65,0.05,0.15,0.1,0.05,0.0
HDFC/O/E /VAF/18/03/0030,HDFC Value Fund,2026-02-01,1.64,1.65,-0.01,0.79,0.8,-0.01,0.0
HDFC/O/E/DYF/20/08/0075,HDFC Dividend Yield Fund,2026-02-01,1.69,1.68,0.01,0.56,0.55,0.01,0.0
HDFC/O/E/FCF/94/12/0002,HDFC Flexi Cap Fund,2026-02-01,1.2,1.19,0.01,0.52,0.54,-0.02,-0.03
