NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
EDEL/O/O/EIN/21/07/0037,Edelweiss Nifty 100 Quality 30 Index Fund,0.28,0.33,2026-02-01,-0.05
EDEL/O/O/FOD/25/06/0070,Edelweiss Income Plus Arbitrage Active Fund of Funds,0.04,0.03,2026-02-01,0.01
EDEL/O/O/FOD/25/07/0071,Edelweiss Multi Asset Omni Fund of Fund,0.06,0.11,2026-02-01,-0.05
EDEL/O/O/FOO/09/06/0008,Edelweiss Greater China Equity Off-shore Fund,0.63,0.61,2026-02-01,0.02
EDEL/O/O/FOO/11/01/0010,Edelweiss ASEAN Equity Off-shore Fund,0.58,0.57,2026-02-01,0.01
EDEL/O/O/FOO/13/07/0011,Edelweiss US Value Equity Offshore Fund,0.55,0.53,2026-02-01,0.02
EDEL/O/O/FOO/13/12/0015,Edelweiss Emerging Markets Opportunities Equity Offshore Fund,0.45,0.44,2026-02-01,0.01
FTMF/O/D/FLF/01/04/0015,Franklin India Floating Rate Fund,0.21,0.22,2026-02-01,-0.01
FTMF/O/D/ONF/19/03/0042,Franklin India Overnight Fund,0.06,0.07,2026-02-01,-0.01
FTMF/O/E /THE/25/08/0052,Franklin India Multi-Factor Fund,0.59,0.58,2026-02-01,0.01
FTMF/O/E/DYF/06/03/0025,Franklin India Dividend Yield Fund,1.02,1.03,2026-02-01,-0.01
FTMF/O/E/ELS/99/04/0009,Franklin India ELSS Tax Saver Fund,0.9,0.93,2026-02-01,-0.03
FTMF/O/E/FCF/94/09/0003,Franklin India Flexi Cap Fund,0.72,0.73,2026-02-01,-0.01
FTMF/O/E/FOC/07/05/0026,Franklin India Focused Equity Fund,0.79,0.82,2026-02-01,-0.03
FTMF/O/E/LCF/93/12/0002,Franklin India Large Cap Fund,0.91,0.93,2026-02-01,-0.02
FTMF/O/E/LMF/04/12/0023,Franklin India Large & Mid Cap Fund,1.07,1.09,2026-02-01,-0.02
FTMF/O/E/MCF/25/05/0044,Franklin India Multi Cap Fund,0.37,0.4,2026-02-01,-0.03
FTMF/O/E/MIF/93/12/0001,Franklin India Mid Cap Fund,0.79,0.82,2026-02-01,-0.03
FTMF/O/E/SCF/05/10/0024,Franklin India Small Cap Fund,0.76,0.79,2026-02-01,-0.03
FTMF/O/E/THE/00/02/0011,Franklin India Opportunities Fund,0.42,0.45,2026-02-01,-0.03
FTMF/O/E/THE/07/08/0027,Franklin Asian Equity Fund,1.41,1.38,2026-02-01,0.03
FTMF/O/E/THE/09/06/0028,Franklin Build India Fund,0.81,0.82,2026-02-01,-0.01
FTMF/O/E/THE/98/08/0008,Franklin India Technology Fund,0.88,0.91,2026-02-01,-0.03
FTMF/O/E/VAF/96/06/0004,Templeton India Value Fund,0.73,0.75,2026-02-01,-0.02
FTMF/O/H /MAA/25/06/0051,Franklin India Multi Asset Allocation Fund,0.16,0.17,2026-02-01,-0.01
FTMF/O/H/AHF/00/05/0012,Franklin India Aggressive Hybrid Fund,0.75,0.74,2026-02-01,0.01
FTMF/O/H/ARB/24/10/0049,Franklin India Arbitrage Fund,0.25,0.24,2026-02-01,0.01
FTMF/O/H/BAF/22/07/0043,Franklin India Balanced Advantage Fund,0.41,0.4,2026-02-01,0.01
FTMF/O/H/CHF/00/09/0014,Franklin India Conservative Hybrid Fund,0.66,0.67,2026-02-01,-0.01
FTMF/O/H/ESF/18/05/0034,Franklin India Equity Savings Fund,0.29,0.32,2026-02-01,-0.03
FTMF/O/O/FOD/03/10/0017,Franklin India Dynamic Asset Allocation Active Fund of Funds,1.08,1.12,2026-02-01,-0.04
FTMF/O/O/FOD/14/05/0032,Franklin India Income Plus Arbitrage Active Fund of Funds,0.17,0.21,2026-02-01,-0.04
FTMF/O/O/FOO/11/08/0029,Franklin U. S. Opportunities Equity Active Fund of Funds,0.48,0.49,2026-02-01,-0.01
FTMF/O/O/OIN/00/05/0013,Franklin India NSE Nifty 50 Index Fund,0.25,0.26,2026-02-01,-0.01
FTMF/O/S/RET/97/03/0005,Franklin India Retirement Fund,1.23,1.22,2026-02-01,0.01
GROW/O/O/EET/25/07/0042,Groww Nifty Capital Markets ETF,0.4,0.34,2026-02-01,0.06
GROW/O/O/EIN/24/04/0014,Groww Nifty 1D Rate Liquid ETF,0.29,0.4,2026-02-01,-0.11
GROW/O/O/FOD/24/07/0016,Groww Nifty EV & New Age Automotive ETF FOF,0.14,0.12,2026-02-01,0.02
GROW/O/O/FOD/24/09/0021,Groww Gold ETF FOF,0.23,0.1,2026-02-01,0.13
GROW/O/O/FOD/24/10/0026,Groww Nifty 200 ETF FOF,0.15,0.1,2026-02-01,0.05
GROW/O/O/GET/24/09/0020,Groww Gold ETF,0.5,0.58,2026-02-01,-0.08
HDFC/O/D/CRF/18/03/0042,HDFC Credit Risk Debt Fund,0.82,0.86,2026-02-01,-0.04
HDFC/O/E /VAF/18/03/0030,HDFC Value Fund,0.79,0.8,2026-02-01,-0.01
